Business Name,Address,City,Zip,Instant Sales,Online Sales,Total
VALERO FOOD MART,2402 BROOKPARK RD,PARMA,44134,"$110,433.00","$78,582.50","$189,015.50"
GROVE GAS & FOOD,5790 STATE RD,CLEVELAND,44134,"$120,330.00","$67,742.50","$188,072.50"
OHIO GAS,1980 NOBLE RD,EAST CLEVELAND,44112,"$50,234.00","$137,769.50","$188,003.50"
CENTRAL FOX MARKET,453 DUNDEE DR,CLEVELAND,44108,"$31,200.00","$156,377.00","$187,577.00"
GRANDPA' S KITCHEN,1905 E 55TH ST,CLEVELAND,44103,"$35,252.00","$151,965.50","$187,217.50"
SPEEDWAY #8641,4280 W 150TH ST,CLEVELAND,44135,"$121,507.00","$64,974.00","$186,481.00"
CYPRESS BEVERAGE & DELI,4533 STATE RD,CLEVELAND,44109,"$84,069.00","$102,254.50","$186,323.50"
SPEEDWAY #3345,6073 MAYFIELD RD,MAYFIELD HEIGHTS,44124,"$93,400.00","$92,698.00","$186,098.00"
ONE STOP MARKET,3744 E 144TH ST,CLEVELAND,44120,"$44,422.00","$141,622.00","$186,044.00"
SPEEDWAY #3309,26516 LORAIN RD,NORTH OLMSTED,44070,"$109,400.00","$76,558.50","$185,958.50"
TRUE NORTH #358,7798 GRANGER RD,VALLEY VIEW,44131,"$109,050.00","$76,840.50","$185,890.50"
VINNY'S BEVERAGE,13531 LORAIN AVE,CLEVELAND,44111,"$87,702.00","$97,801.00","$185,503.00"
KMART #4966,7700 BROOKPARK RD,PARMA,44129,"$146,798.00","$38,609.50","$185,407.50"
SPEEDWAY #3408,9191 ROYALTON RD,NORTH ROYALTON,44133,"$103,762.00","$81,499.00","$185,261.00"
UNITED CONVENIENCE STORE,6206 BROADWAY AVE,CLEVELAND,44127,"$73,350.00","$111,866.50","$185,216.50"
TEAMZ BAR AND GRILL,6611 EASTLAND RD,MIDDLEBURG HEIGHTS,44130,$0.00,"$184,931.00","$184,931.00"
TRUE NORTH #303,8952 BRECKSVILLE RD,BRECKSVILLE,44141,"$104,860.00","$79,922.50","$184,782.50"
CIRCLE K #5244,6300 ENGLE RD,BROOK PARK,44142,"$125,700.00","$59,071.50","$184,771.50"
LIBERTY GAS USA,3935 W 130 ST,CLEVELAND,44111,"$78,934.00","$105,827.50","$184,761.50"
